adc0,adc1,adc2,adc3,sonar0,sonar1,sonar2,sonar3,speed,turn
0,0,0,0,0.45499999999999996,0.45499999999999996,0.45499999999999996,0.9125,-0.116667,0.658333
0,0,0,0,0.4325,0.4325,0.4325,0,-0.1125,0.7125
0,0,0,0,0.38749999999999996,0.38749999999999996,0.38749999999999996,0.9125,-0.108333,0.733333
0,0,0,0,0.37,0.37,0.37,0.9125,-0.104167,0.741667
0,0,0,0,0.36250000000000004,0.36250000000000004,0.36250000000000004,0.9125,-0.0958332,0
0,0,0,0,0.6125,0.6275,0.7875,0.9125,-0.0875,0
0,0,0,0,0.8025,0.7224999999999999,0.7424999999999999,0.9125,0,0
0,0,0,0,0.72,0.6975,0.7050000000000001,0.9125,0.125,0
0,0,0,0,0.8049999999999999,0.6225,0.6699999999999999,0.9125,-0.145833,-0.108333
0,0,0,0,0.7375,0.7775,0.6725,0.9125,-0.1875,0.279167
0,0,0,0,0.76,0.76,0.76,0.9125,-0.1875,0.3375
0,0,0,0,0.71,0.71,0.71,0.9125,-0.1875,0.370833
0,0,0,0,0.6825,0.6825,0.6825,0,-0.1875,0.379167
0,0,0,0,0.675,0.675,0.675,0.91,-0.1875,0.404167
0,0,0,0,0.6525000000000001,0.6525000000000001,0.6525000000000001,0.91,-0.1875,0.4125
0,0,0,0,0.645,0.645,0.645,0.91,-0.1875,0.429167
0,0,0,0,0.63,0.63,0.63,0.9075,-0.1875,0.458333
0,0,0,0,0.605,0.605,0.605,0.9075,-0.1875,0.529167
0,0,0,0,0.5449999999999999,0.5449999999999999,0.5449999999999999,0.9075,-0.1875,0.558333
0,0,0,0,0.52,0.52,0.52,0.905,-0.1875,0.575
0,0,0,0.3666666666666667,0.505,0.505,0.505,0.905,-0.1875,0.5875
0,0,0,0.3666666666666667,0.48,0.48,0.48,0,-0.1875,0.6125
0,0,0,0,0.47250000000000003,0.47250000000000003,0.47250000000000003,0.9025,-0.1875,0.625
0,0,0,0,0.4525,0.4525,0.4525,0.9025,-0.1875,0.658333
0,0,0,0.033333333333333326,0.4625,0.4625,0.4625,0,-0.1875,0.6375
0,0,0,0,0.4325,0.4325,0.4325,0,-0.1875,0.670833
0,0,0,0,0.4225,0.4225,0.4225,0,-0.179167,0.683333
0,0,0,0,0.4125,0.4125,0.4125,0.8975,-0.175,0.683333
0,0,0,0,0.4125,0.4125,0.4125,0.8975,-0.175,0.6875
0,0,0,0,0.4075,0.4075,0.4075,0.8975,-0.170833,0.6875
0,0,0,0,0.985,0.85,0.85,0.895,-0.15,0
0,0,0,0,0.83,0.6575,0.8325,0.895,-0.141667,0
0,0,0,0,0.84,0.5800000000000001,0.8325,0.895,-0.025,0
0,0,0,0,0.75,0.645,0.825,0.895,0.116667,0
0,0,0,0,0.8425,0.5675,0.835,0.8975,0.220833,0
0,0,0,0,0.8275,0.5800000000000001,0.8325,0.895,0.3,0
0,0,0,0,0.6950000000000001,0.6575,0.8325,0.895,0.333333,0
0,0,0,0,0.745,0.6599999999999999,0.83,0.895,0.3875,0
0,0,0,0,0.575,0.5775,0.8325,0.8975,0.404167,0
0,0,0,0,0.585,0.5875,0.8275,0.8975,0.420833,0
0,0,0,0,0.7825,0.6799999999999999,0.83,0.9,0.4625,0
0,0,0,0,0.7424999999999999,0.6074999999999999,0.8425,0.9025,0.520833,0
0,0,0,0,0.765,0.6,0.845,0.905,0.545833,0
0,0,0,0.19999999999999996,0.7025,0.675,0.8425,0.9075,0.583333,0
0,0,0,0,0.7224999999999999,0.6825,0.8325,0.91,0.620833,0
0,0,0,0,0.6775,0.655,0.83,0.915,0.645833,0
0,0,0,0,0.81,0.665,0.835,0.9125,0.6375,0
0,0,0,0,0.6775,0.6725,0.8275,0.9175,0.65,0
